pet_name,pet_gender,pet_age,location,link,pet_breed,pet_color,pet_id,pet_hair,pet_rescue,pet_address,Spayed,Neutered,Spayed / Neutered,Shots Up to Date,Has Special Needs,Declawed,Not Good with Kids,Good with Kids,House-trained,Good with Cats,Not Good with Cats,Good with Dogs,Not Good with Dogs,Needs Experienced Adopter
Gia,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/24654774-chicago-illinois-cat,Domestic Shorthair,Brown Tabby,F057-19,short,Help Save Pets - Chicago,"511 W. North Ave., Chicago, IL 60610",Yes,,,Yes,,,,,,,,,,
ADOPTED!!!   Jarvis,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/24654740-chicago-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,F045-19,short,Help Save Pets - Chicago,"511 W. North Ave., Chicago, IL 60610",,Yes,,Yes,,,,,,,,,,
ADOPTED!!!   Tim,Male,kitten,"Chicago, IL",https://www.adoptapet.com/pet/24654762-chicago-illinois-kitten,Domestic Shorthair,All Black,F046-19,short,Help Save Pets - Chicago,"511 W. North Ave., Chicago, IL 60610",,Yes,,Yes,,,,,,,,,,
Max,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25362912-chicago-illinois-cat,Domestic Shorthair,Orange or Red,41083521,,The Anti-Cruelty Society,"Chicago, IL",,Yes,,,,,,,Yes,,,,,
Princess,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/25251906-chicago-illinois-cat,Domestic Shorthair,Gray or Blue,41550847,,The Anti-Cruelty Society,"Chicago, IL",Yes,,,,,,,,Yes,,,,,
Liam,Male,senior,"Chicago, IL",https://www.adoptapet.com/pet/25379820-chicago-illinois-cat,Domestic Shorthair,Brown or Chocolate,41656240,,The Anti-Cruelty Society,"Chicago, IL",,Yes,,,,,,,Yes,,,,,
Mikey,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25159328-chicago-illinois-cat,Domestic Shorthair,Brown or Chocolate,41377173,,The Anti-Cruelty Society,"Chicago, IL",,Yes,,,,,,,,,,,,
Mojito,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/25499234-chicago-illinois-cat,Domestic Shorthair,All Black,41544100,,The Anti-Cruelty Society,"Chicago, IL",,Yes,,,,,,,,,,,,
Blue,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/25499236-chicago-illinois-cat,Domestic Shorthair,All Black,41544092,,The Anti-Cruelty Society,"Chicago, IL",Yes,,,,,,,,,,,,,
Gordo,Male,adult,"Chicago, IL",https://www.adoptapet.com/pet/25516001-chicago-illinois-cat,Domestic Shorthair,All Black,41760884,,The Anti-Cruelty Society,"Chicago, IL",,Yes,,,,,,,,,,,,
