pet_name,pet_gender,pet_age,location,link,pet_breed,pet_color,pet_id,pet_hair,pet_rescue,pet_address,Spayed,Neutered,Spayed / Neutered,Shots Up to Date,Has Special Needs,Declawed,Not Good with Kids,Good with Kids,House-trained,Good with Cats,Not Good with Cats,Good with Dogs,Not Good with Dogs,Needs Experienced Adopter
Lily,Female,young,"Worth, IL",https://www.adoptapet.com/pet/24922430-worth-illinois-cat,Calico,Calico or Dilute Calico,792258,,"Private Owner (Worth, IL)","Worth, IL",,,,,,,,,,,,,,
BROWNIE,Male,"
              1 year old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25376054-chicago-ridge-illinois-cat,Domestic Shorthair,Brown Tabby,A190313,short,Animal Welfare League,"Chicago Ridge, IL",,Yes,,,,,,,,,,,,
PHOEBE,Female,"
              5 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/24593496-chicago-ridge-illinois-cat,Domestic Shorthair,White (Mostly),A140287,short,Animal Welfare League,"Chicago Ridge, IL",Yes,,,,,,,,,,,,,
DAHILIA,Female,"
              2 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/24781899-chicago-ridge-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,A189429,short,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,
KRUGER,Male,"
              3 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/24781900-chicago-ridge-illinois-cat,Domestic Shorthair,Brown or Chocolate (Mostly),A189430,short,Animal Welfare League,"Chicago Ridge, IL",,Yes,,,,,,,,,,,,
SARA,Female,"
              4 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/20652318-chicago-ridge-illinois-cat,Domestic Shorthair,Calico or Dilute Calico,A181130,short,Animal Welfare League,"Chicago Ridge, IL",Yes,,,,,,,,,,,,,
SONYA,Female,"
              8 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/23984277-chicago-ridge-illinois-cat,Domestic Shorthair,Tortoiseshell,A181502,short,Animal Welfare League,"Chicago Ridge, IL",Yes,,,,,,,,,,,,,
JOEY,Male,"
              1 year old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25376057-chicago-ridge-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,A190325,short,Animal Welfare League,"Chicago Ridge, IL",,Yes,,,,,,,,,,,,
CHINA,Female,"
              5 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25366215-chicago-ridge-illinois-cat,Domestic Shorthair,All Black,A190300,short,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,
HALEY,Female,"
              2 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25275740-chicago-ridge-illinois-cat,Domestic Shorthair,Brown Tabby,A190052,short,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,
BLACKIE,Male,"
              2 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25275739-chicago-ridge-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,A190265,short,Animal Welfare League,"Chicago Ridge, IL",,Yes,,,,,,,,,,,,
PRINCE,Male,"
              1 year old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25249838-chicago-ridge-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,A190256,short,Animal Welfare League,"Chicago Ridge, IL",,Yes,,,,,,,,,,,,
ENVY,Female,"
              1 year old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25246424-chicago-ridge-illinois-cat,Domestic Shorthair,All Black,A189925,short,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,
BOOTS,Male,"
              11 months old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25247355-chicago-ridge-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,A190247,short,Animal Welfare League,"Chicago Ridge, IL",,Yes,,,,,,,,,,,,
BAM BAM,Male,"
              2 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25247356-chicago-ridge-illinois-cat,Domestic Shorthair,"Gray, Blue or Silver Tabby",A190112,short,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,
GEORGE,Male,"
              3 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25449924-chicago-ridge-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,A189362,short,Animal Welfare League,"Chicago Ridge, IL",,Yes,,,,,,,,,,,,
TINA,Female,"
              1 year old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25376060-chicago-ridge-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,A190288,short,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,
ROXY,Female,"
              6 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/24593491-chicago-ridge-illinois-cat,Domestic Shorthair,Brown Tabby,A188688,short,Animal Welfare League,"Chicago Ridge, IL",Yes,,,,,,,,,,,,,
ZOE,Female,"
              2 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25375683-chicago-ridge-illinois-cat,Domestic Shorthair,Gray or Blue (Mostly),A190259,short,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,
BOWIE,Male,"
              2 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25376056-chicago-ridge-illinois-cat,Domestic Shorthair,Gray or Blue (Mostly),A190287,short,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,
CHURCH,Male,"
              2 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25375681-chicago-ridge-illinois-cat,Domestic Shorthair,"Gray, Blue or Silver Tabby",A190299,short,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,
MOO MOO,Male,"
              6 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25247354-chicago-ridge-illinois-cat,Domestic Mediumhair,Black & White or Tuxedo,A189956,medium,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,
YAY YAY,Female,"
              2 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25247350-chicago-ridge-illinois-cat,Domestic Shorthair,Brown Tabby,A189957,short,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,
WALTER,Male,"
              5 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25245969-chicago-ridge-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,A189914,short,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,
PEANUT,Female,"
              10 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25167532-chicago-ridge-illinois-cat,Domestic Longhair,Black & White or Tuxedo,A189922,long,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,
SUGAR,Female,"
              3 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25052668-chicago-ridge-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,A189857,short,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,
FREDDY,Male,"
              2 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/24788651-chicago-ridge-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,A189667,short,Animal Welfare League,"Chicago Ridge, IL",,Yes,,,,,,,,,,,,
SANDY,Female,"
              5 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/25015471-chicago-ridge-illinois-cat,Domestic Mediumhair,All Black,A170042,medium,Animal Welfare League,"Chicago Ridge, IL",Yes,,,,,,,,,,,,,
BATMAN,Male,"
              4 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/24420502-chicago-ridge-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,A189179,short,Animal Welfare League,"Chicago Ridge, IL",,Yes,,,,,,,,,,,,
LULU,Male,"
              3 years old, ","Chicago Ridge, IL",https://www.adoptapet.com/pet/24593493-chicago-ridge-illinois-cat,Domestic Shorthair,Brown Tabby,A189350,short,Animal Welfare League,"Chicago Ridge, IL",,Yes,,,,,,,,,,,,
Hazel,Female,adult,"Bridgeview, IL",https://www.adoptapet.com/pet/22947099-bridgeview-illinois-cat,Domestic Mediumhair,Tortoiseshell,472618,,"Private Owner (Bridgeview, IL)","Bridgeview, IL",Yes,,,,,,,Yes,Yes,,,,Yes,
Molly,Female,adult,"Oak Forest, IL",https://www.adoptapet.com/pet/23504223-oak-forest-illinois-cat,Calico,Calico or Dilute Calico,549748,,"Private Owner (Oak Forest, IL)","Oak Forest, IL",Yes,,,,,,,,Yes,Yes,,Yes,,
Svengoolie,Male,adult,"Oak Forest, IL",https://www.adoptapet.com/pet/25116944-oak-forest-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,812012,,"Private Owner (Oak Forest, IL)","Oak Forest, IL",,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,,
Savannah,Female,young,"Oak Forest, IL",https://www.adoptapet.com/pet/23687479-oak-forest-illinois-cat,Domestic Mediumhair,Brown or Chocolate (Mostly),574283,,"Private Owner (Oak Forest, IL)","Oak Forest, IL",Yes,,,Yes,,,,Yes,Yes,Yes,,Yes,,
Maxwell,Male,young,"Willow Springs, IL",https://www.adoptapet.com/pet/25489598-willow-springs-illinois-cat,American Shorthair,Tan or Fawn (Mostly),918553,,"Private Owner (Willow Springs, IL)","Willow Springs, IL",,Yes,,,,,,,,,,,,
Mayhem,Male,young,"Willow Springs, IL",https://www.adoptapet.com/pet/20206593-willow-springs-illinois-cat,Domestic Shorthair,Brown Tabby,217450,,"Private Owner (Willow Springs, IL)","Willow Springs, IL",,,,Yes,,,,Yes,,Yes,,,,
Mr ruckus,Male,young,"Willow Springs, IL",https://www.adoptapet.com/pet/20206606-willow-springs-illinois-cat,Domestic Shorthair,"Gray, Blue or Silver Tabby",217451,,"Private Owner (Willow Springs, IL)","Willow Springs, IL",,,,Yes,,,,Yes,,Yes,,,,
Oreo,Male,kitten,"Tinley Park, IL",https://www.adoptapet.com/pet/25048491-tinley-park-illinois-kitten,Domestic Shorthair,Black & White or Tuxedo,819811,,"Private Owner (Tinley Park, IL)","Tinley Park, IL",,,,,,,,,,,,,,
Shadow and Badger,Female,young,"Tinley Park, IL",https://www.adoptapet.com/pet/24657934-tinley-park-illinois-cat,Domestic Shorthair,Tortoiseshell,739763,,"Private Owner (Tinley Park, IL)","Tinley Park, IL",Yes,,,Yes,,,Yes,,Yes,Yes,,,Yes,
Hunter and Zeus,Male,adult,"Tinley Park, IL",https://www.adoptapet.com/pet/22229713-tinley-park-illinois-cat,Domestic Shorthair,Brown or Chocolate (Mostly),398877,short,"Private Owner (Tinley Park, IL)","Tinley Park, IL",,Yes,,Yes,,,,Yes,Yes,,,,Yes,Yes
Bella,Female,kitten,"Tinley Park, IL",https://www.adoptapet.com/pet/25048546-tinley-park-illinois-kitten,Domestic Shorthair,Black & White or Tuxedo,819836,,"Private Owner (Tinley Park, IL)","Tinley Park, IL",,,,,,,,,,,,,,
Sweetie,Female,kitten,"Tinley Park, IL",https://www.adoptapet.com/pet/25048589-tinley-park-illinois-kitten,Domestic Shorthair,Black & White or Tuxedo,819853,,"Private Owner (Tinley Park, IL)","Tinley Park, IL",,,,,,,,,,,,,,
Badger,Female,young,"Tinley Park, IL",https://www.adoptapet.com/pet/24657939-tinley-park-illinois-cat,Domestic Shorthair,Tortoiseshell,739764,,"Private Owner (Tinley Park, IL)","Tinley Park, IL",,,,Yes,,,,,Yes,Yes,,,Yes,
Handsome Grey,Male,"
              8 years old, ","Chicago, IL",https://www.adoptapet.com/pet/25253929-chicago-illinois-cat,Domestic Shorthair,Gray or Blue,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,Yes,,,,,,,Yes,,
Vernon the Second,Male,"
              1 year old, ","Chicago, IL",https://www.adoptapet.com/pet/25248982-chicago-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,,,,,,,,
Michigan,Male,"
              2 years old, ","Chicago, IL",https://www.adoptapet.com/pet/25173103-chicago-illinois-cat,Domestic Shorthair,All Black,,medium,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,,,,,,,,,,,
Benito,Male,"
              7 years old, ","Chicago, IL",https://www.adoptapet.com/pet/24515507-chicago-illinois-cat,Domestic Longhair,Gray or Blue (Mostly),,long,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,,,,,,,,
Parker,Male,"
              1 year old, ","Chicago, IL",https://www.adoptapet.com/pet/25113722-chicago-illinois-cat,Domestic Shorthair,Tiger Striped,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,,,,,,,,
Raymond,Male,"
              3 years old, ","Chicago, IL",https://www.adoptapet.com/pet/24745170-chicago-illinois-cat,Domestic Shorthair,Brown Tabby,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,,,,,,,,Yes
Oscar Montevecchio,Male,kitten,"Chicago, IL",https://www.adoptapet.com/pet/18889094-chicago-illinois-kitten,Domestic Shorthair,Black & White or Tuxedo,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,Yes,,,Yes,,Yes,,
Alistair,Male,"
              1 year old, ","Chicago, IL",https://www.adoptapet.com/pet/24775667-chicago-illinois-cat,Domestic Shorthair,Tan or Fawn (Mostly),,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,,,,,,,,
Emmie,Female,"
              3 years old, ","Chicago, IL",https://www.adoptapet.com/pet/24660839-chicago-illinois-cat,Domestic Shorthair,"Gray, Blue or Silver Tabby",,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",Yes,,,Yes,,,,,,,,,,
Delilah,Female,"
              11 months old, ","Chicago, IL",https://www.adoptapet.com/pet/24167261-chicago-illinois-cat,Domestic Shorthair,Brown Tabby,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",Yes,,,Yes,,,,,,,,,,
Coco,Male,"
              3 years old, ","Chicago, IL",https://www.adoptapet.com/pet/24277938-chicago-illinois-cat,Domestic Shorthair,Tiger Striped,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,,,,,,,,
Chi Town,Female,"
              7 years old, ","Chicago, IL",https://www.adoptapet.com/pet/24259448-chicago-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",Yes,,,Yes,,,,,,,,Yes,,
Gabriel,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/24151542-chicago-illinois-cat,Domestic Longhair,Brown Tabby,,long,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,,,,,,,,,,,Yes
Alley Kahn,Male,"
              2 years old, ","Chicago, IL",https://www.adoptapet.com/pet/23850637-chicago-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,,,,,,,,
Cio Cio San,Female,"
              2 years old, ","Chicago, IL",https://www.adoptapet.com/pet/23104230-chicago-illinois-cat,Domestic Shorthair,Tan or Fawn Tabby,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",Yes,,,Yes,,,,,,,,,,
Mama Ava,Female,adult,"Chicago, IL",https://www.adoptapet.com/pet/23785984-chicago-illinois-cat,Domestic Shorthair,Cream or Ivory (Mostly),,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",Yes,,,Yes,,,,,,Yes,,,,Yes
Hinahina,Female,"
              1 year old, ","Chicago, IL",https://www.adoptapet.com/pet/23307782-chicago-illinois-cat,Domestic Shorthair,Gray or Blue,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",Yes,,,Yes,,,,,,,,,,
Little Bits,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/21695961-chicago-illinois-cat,Domestic Shorthair,"Gray, Blue or Silver Tabby",,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",Yes,,,Yes,,,,,,,,,,
Pepperoni,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/21695999-chicago-illinois-cat,Domestic Shorthair,"Gray, Blue or Silver Tabby",,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,,,,,,,,
Estella,Female,young,"Chicago, IL",https://www.adoptapet.com/pet/18717981-chicago-illinois-cat,Domestic Shorthair,Tortoiseshell,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",Yes,,,Yes,,,,,,,,,,
Rowan,Female,"
              1 year old, ","Chicago, IL",https://www.adoptapet.com/pet/23312128-chicago-illinois-cat,Domestic Shorthair,Gray or Blue,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",Yes,,,Yes,,,,,,,,,,Yes
Corrigan,Male,young,"Chicago, IL",https://www.adoptapet.com/pet/25513796-chicago-illinois-cat,Domestic Shorthair,Orange or Red,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,,,,Yes,,,,
Michelline,Female,"
              2 years old, ","Chicago, IL",https://www.adoptapet.com/pet/25490265-chicago-illinois-cat,Domestic Mediumhair,Tiger Striped,,medium,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",Yes,,,Yes,,,,,,,,,,
Achilles,Male,"
              9 years old, ","Chicago, IL",https://www.adoptapet.com/pet/19886225-chicago-illinois-cat,Domestic Shorthair,Brown Tabby,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,,,,Yes,,Yes,,
Oreo Finley,Male,"
              2 years old, ","Chicago, IL",https://www.adoptapet.com/pet/25446873-chicago-illinois-cat,Domestic Shorthair,Black & White or Tuxedo,,short,Hyde Park Cats,"Hyde Park, Chicago, IL 60615",,Yes,,Yes,,,,,,,,,,
