pet_name,pet_type,sex,age,location,link,breed,color,size,weight,pet_id,hair,rescue,address,Spayed,Neutered,Spayed / Neutered,Shots Up to Date,Purebred,Has Special Needs,Declawed,Not Good with Kids,Good with Kids,House-trained,Good with Cats,Not Good with Cats,Good with Dogs,Not Good with Dogs,Needs Experienced Adopter
Lil Dude,dog,Male,adult,"Evergreen Park, IL",https://www.adoptapet.com/pet/23911259-evergreen-park-illinois-mastiff-mix,Mastiff/American Staffordshire Terrier Mix,"White - with Tan, Yellow or Fawn",(when grown) Large 61-100 lbs (28-45 kg),,607462,,"Private Owner (Evergreen Park, IL)","Evergreen Park, IL",,Yes,,Yes,,,,,Yes,Yes,,,Yes,,
Tipsy,dog,Female,young,"Alsip, IL",https://www.adoptapet.com/pet/24979406-alsip-illinois-german-shepherd-dog-mix,German Shepherd Dog Mix,"Black - with Tan, Yellow or Fawn",(when grown) Large 61-100 lbs (28-45 kg),,804709,,"Private Owner (Alsip, IL)","Alsip, IL",,,,,,,,,,,,,,,
Talulah,dog,Female,adult,"Worth, IL",https://www.adoptapet.com/pet/24620330-worth-illinois-australian-cattle-dog-mix,Australian Cattle Dog Mix,Black - with White,(when grown) Med. 26-60 lbs (12-27 kg),,731766,,"Private Owner (Worth, IL)","Worth, IL",Yes,,,Yes,,,,,Yes,Yes,,,,Yes,Yes
Kayla,dog,Female,adult,"Crestwood, IL",https://www.adoptapet.com/pet/20517907-crestwood-illinois-german-shepherd-dog,German Shepherd Dog,"Black - with Tan, Yellow or Fawn",(when grown) Large 61-100 lbs (28-45 kg),,,,Simply Shepherds Rescue,"Crestwood, IL 60418",Yes,,,Yes,Yes,,,Yes,,,,Yes,Yes,,Yes
Dooby,dog,Male,"12 years old,  adult","Crestwood, IL",https://www.adoptapet.com/pet/23853604-crestwood-illinois-labrador-retriever-mix,Labrador Retriever Mix,Black - with White,(when grown) Large 61-100 lbs (28-45 kg),(current) 60 lbs,,,Simply Shepherds Rescue,"Crestwood, IL 60418",,Yes,,Yes,,,,,Yes,Yes,,,Yes,,
Rudy,dog,Male,"8 years old,  adult","Crestwood, IL",https://www.adoptapet.com/pet/23853553-crestwood-illinois-german-shepherd-dog,German Shepherd Dog,"Black - with Brown, Red, Golden, Orange or Chestnut",(when grown) Large 61-100 lbs (28-45 kg),(current) 80 lbs,,,Simply Shepherds Rescue,"Crestwood, IL 60418",,,,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,
Wendy,dog,Female,"7 months old,  young","Crestwood, IL",https://www.adoptapet.com/pet/24635595-crestwood-illinois-german-shepherd-dog,German Shepherd Dog,"Black - with Tan, Yellow or Fawn",(when grown) Med. 26-60 lbs (12-27 kg),,,,Simply Shepherds Rescue,"Crestwood, IL 60418",,,,Yes,Yes,,,,,,,,Yes,,Yes
Max,dog,Male,"10 years old,  adult","Crestwood, IL",https://www.adoptapet.com/pet/24647232-crestwood-illinois-german-shepherd-dog,German Shepherd Dog,"Black - with Tan, Yellow or Fawn",(when grown) Large 61-100 lbs (28-45 kg),(current) 65 lbs,,,Simply Shepherds Rescue,"Crestwood, IL 60418",,Yes,,Yes,Yes,Yes,,,Yes,Yes,,,Yes,,
Freddie,dog,Male,adult,"Crestwood, IL",https://www.adoptapet.com/pet/19278373-crestwood-illinois-german-shepherd-dog,German Shepherd Dog,"Black - with Tan, Yellow or Fawn",(when grown) Large 61-100 lbs (28-45 kg),,,,Simply Shepherds Rescue,"Crestwood, IL 60418",,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,,,Yes
Hannah,dog,Female,"1 year old,  young","Crestwood, IL",https://www.adoptapet.com/pet/24665790-crestwood-illinois-pit-bull-terrier-mix,Pit Bull Terrier Mix,Tan/Yellow/Fawn,(when grown) Med. 26-60 lbs (12-27 kg),,,,Simply Shepherds Rescue,"Crestwood, IL 60418",Yes,,,Yes,,,,,,Yes,,,Yes,,
Jet,dog,Male,"9 months old,  young","Crestwood, IL",https://www.adoptapet.com/pet/24635623-crestwood-illinois-german-shepherd-dog,German Shepherd Dog,"Black - with Tan, Yellow or Fawn",(when grown) Large 61-100 lbs (28-45 kg),,,,Simply Shepherds Rescue,"Crestwood, IL 60418",,Yes,,Yes,Yes,,,,,,,Yes,Yes,,Yes
Nitro,dog,Male,"6 years old,  adult","Crestwood, IL",https://www.adoptapet.com/pet/24914957-crestwood-illinois-german-shepherd-dog,German Shepherd Dog,"Black - with Tan, Yellow or Fawn",(when grown) Large 61-100 lbs (28-45 kg),(current) 65 lbs,,,Simply Shepherds Rescue,"Crestwood, IL 60418",,Yes,,Yes,Yes,Yes,,,,,,,Yes,,Yes
Roscoe,dog,Male,"5 years old,  adult","Crestwood, IL",https://www.adoptapet.com/pet/24914912-crestwood-illinois-german-shepherd-dog,German Shepherd Dog,"Black - with Tan, Yellow or Fawn",(when grown) Large 61-100 lbs (28-45 kg),(current) 80 lbs,,,Simply Shepherds Rescue,"Crestwood, IL 60418",,,,Yes,Yes,,,,,,,Yes,,,Yes
Simon,dog,Male,adult,"Crestwood, IL",https://www.adoptapet.com/pet/17966615-crestwood-illinois-german-shepherd-dog-mix,German Shepherd Dog/Boxer Mix,Brindle - with White,(when grown) Med. 26-60 lbs (12-27 kg),,,,Simply Shepherds Rescue,"Crestwood, IL 60418",,Yes,,Yes,,,,,,Yes,Yes,,Yes,,
KOKO,dog,Male,"8 years old,  senior","Chicago Ridge, IL",https://www.adoptapet.com/pet/24245193-chicago-ridge-illinois-labrador-retriever-mix,Labrador Retriever/Boxer Mix,Brown/Chocolate,(when grown) Med. 26-60 lbs (12-27 kg),,A188045,,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,,
BULLET,dog,Male,"6 years old,  adult","Chicago Ridge, IL",https://www.adoptapet.com/pet/22582399-chicago-ridge-illinois-german-shepherd-dog-mix,German Shepherd Dog Mix,Brindle - with White,(when grown) Large 61-100 lbs (28-45 kg),,A146655,,Animal Welfare League,"Chicago Ridge, IL",,Yes,,,,,,,,,,,,,
BROWN SUGAR,dog,Female,"3 years old,  adult","Chicago Ridge, IL",https://www.adoptapet.com/pet/22988114-chicago-ridge-illinois-shar-pei-mix,Shar Pei/Labrador Retriever Mix,Brown/Chocolate,(when grown) Large 61-100 lbs (28-45 kg),,A185222,,Animal Welfare League,"Chicago Ridge, IL",Yes,,,,,,,,,,,,,,
WAGS,dog,Male,"1 year old,  adult","Chicago Ridge, IL",https://www.adoptapet.com/pet/23549772-chicago-ridge-illinois-american-pit-bull-terrier,American Pit Bull Terrier,Brown/Chocolate,(when grown) Large 61-100 lbs (28-45 kg),,A184896,,Animal Welfare League,"Chicago Ridge, IL",,,,,Yes,,,,,,,,,,
,dog,Female,adult,"Chicago Ridge, IL",https://www.adoptapet.com/pet/24141601-chicago-ridge-illinois-american-pit-bull-terrier,American Pit Bull Terrier,Brown/Chocolate - with White,(when grown) Large 61-100 lbs (28-45 kg),,A188549,,Animal Welfare League,"Chicago Ridge, IL",,,,,Yes,,,,,,,,,,
FATS,dog,Male,"7 years old,  senior","Chicago Ridge, IL",https://www.adoptapet.com/pet/24221831-chicago-ridge-illinois-american-pit-bull-terrier,American Pit Bull Terrier,Gray/Blue/Silver/Salt & Pepper,(when grown) Large 61-100 lbs (28-45 kg),,A187696,,Animal Welfare League,"Chicago Ridge, IL",,,,,Yes,,,,,,,,,,
BONNIE,dog,Female,"3 years old,  adult","Chicago Ridge, IL",https://www.adoptapet.com/pet/24458252-chicago-ridge-illinois-collie-mix,Collie Mix,Black - with White,(when grown) Large 61-100 lbs (28-45 kg),,A188787,,Animal Welfare League,"Chicago Ridge, IL",Yes,,,,,,,,,,,,,,
UMBRE,dog,Male,"2 years old,  adult","Chicago Ridge, IL",https://www.adoptapet.com/pet/24504534-chicago-ridge-illinois-husky-mix,Husky/German Shepherd Dog Mix,Gray/Silver/Salt & Pepper - with White,(when grown) Large 61-100 lbs (28-45 kg),,A188293,,Animal Welfare League,"Chicago Ridge, IL",,,,,,,,,,,,,,,
LADY GAGA,dog,Female,"1 year old,  young","Chicago Ridge, IL",https://www.adoptapet.com/pet/24503069-chicago-ridge-illinois-foxhound,Foxhound,Tricolor (Tan/Brown & Black & White),(when grown) Large 61-100 lbs (28-45 kg),,A188968,,Animal Welfare League,"Chicago Ridge, IL",,,,,Yes,,,,,,,,,,
MILA,dog,Female,"1 year old,  adult","Chicago Ridge, IL",https://www.adoptapet.com/pet/24617087-chicago-ridge-illinois-treeing-walker-coonhound,Treeing Walker Coonhound,Tricolor (Tan/Brown & Black & White),(when grown) Large 61-100 lbs (28-45 kg),,A188771,,Animal Welfare League,"Chicago Ridge, IL",,,,,Yes,,,,,,,,,,
